날짜,동|면적,서울,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
2014년 03월,동(호),12053,87,147,375,482,218,452,606,509,152,406,937,317,324,424,485,602,785,172,514,421,336,713,810,1118,661
,면적,923,7,9,32,39,19,34,49,40,11,29,60,24,19,32,37,43,60,12,39,35,25,67,72,85,43
2014년 04월,동(호),10641,106,139,301,690,211,401,706,490,170,361,860,298,290,376,360,493,555,185,532,350,309,466,823,655,514
,면적,852,6,10,30,57,18,33,70,40,14,25,56,24,20,30,29,36,42,12,43,28,23,45,71,53,37
2014년 05월,동(호),7682,67,101,178,423,145,368,232,404,136,305,712,232,182,286,280,454,398,117,419,217,211,373,773,370,299
,면적,595,4,8,17,35,12,27,18,32,10,22,40,18,14,21,23,34,28,9,33,18,16,37,67,30,23
2014년 06월,동(호),7234,111,73,114,274,114,354,244,322,160,261,483,220,481,199,267,440,601,122,272,241,177,471,676,289,268
,면적,551,5,6,11,21,9,24,18,24,13,18,30,17,40,15,22,34,34,9,21,20,13,44,59,24,19
2014년 07월,동(호),9259,83,144,119,296,128,326,727,366,137,274,623,255,281,291,295,1223,534,114,282,248,232,707,762,461,351
,면적,724,5,6,12,24,11,23,49,28,11,19,41,20,22,23,24,108,39,8,22,20,16,63,65,37,28
2014년 08월,동(호),10838,54,109,127,353,119,355,592,410,109,309,677,221,217,495,310,2053,538,175,274,271,202,739,1222,539,368
,면적,878,3,7,12,27,10,26,46,32,8,22,43,18,17,40,24,192,38,13,22,22,15,65,107,43,26
2014년 09월,동(호),12309,75,117,180,463,184,611,323,480,143,384,1009,298,280,508,397,1160,592,419,447,314,309,886,1522,685,523
,면적,954,5,8,19,37,15,48,24,37,11,26,64,24,21,38,30,99,42,23,33,25,24,80,129,55,36
2014년 10월,동(호),15261,82,184,225,655,229,1013,448,610,346,529,1311,400,320,614,616,825,571,299,742,400,449,1649,1273,807,664
,면적,1250,6,12,23,54,19,89,35,48,17,37,170,30,25,45,48,62,42,16,45,36,32,138,108,68,44
2014년 11월,동(호),11437,84,240,154,616,389,608,315,512,293,390,903,335,332,488,402,584,439,234,506,321,463,801,823,680,525
,면적,875,7,13,16,53,19,49,23,43,18,27,61,23,24,39,32,44,42,14,32,26,36,74,67,56,35
2014년 12월,동(호),9474,70,231,160,432,219,395,241,423,154,277,724,357,254,560,333,495,356,351,322,254,347,599,802,573,545
,면적,701,6,11,15,36,16,30,18,32,10,19,49,20,19,37,27,38,25,23,24,21,22,53,67,48,32
2015년 01월,동(호),8227,98,100,114,398,173,355,271,392,146,268,677,286,311,297,278,481,391,217,340,294,244,478,681,517,420
,면적,622,8,6,11,33,14,27,20,30,10,20,44,20,19,23,24,35,28,14,25,24,17,45,56,40,31
2015년 02월,동(호),10085,100,208,135,393,228,410,270,581,152,315,918,403,317,502,405,657,471,185,438,360,313,575,642,508,599
,면적,754,8,14,12,31,16,30,19,39,11,22,57,30,23,39,32,47,34,11,33,30,23,54,54,42,43
