날짜,동|면적,서울,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
,면적,595,5,9,12,19,14,22,15,32,11,24,51,19,15,18,31,34,29,9,26,26,21,41,46,42,26
2014년 01월,동(호),5493,40,81,93,186,127,250,268,263,84,157,480,142,153,178,252,246,245,79,225,228,134,389,524,424,245
,면적,447,3,7,8,15,11,17,22,21,7,11,32,11,19,13,22,19,18,6,17,20,10,39,44,34,19
2014년 02월,동(호),7864,64,117,197,278,162,277,209,370,130,303,683,238,200,251,362,402,399,115,432,361,266,506,636,515,391
,면적,614,5,10,16,23,14,21,14,29,10,22,44,19,15,20,29,30,30,8,29,30,20,49,56,42,29
2014년 03월,동(호),9522,71,99,172,341,206,379,301,465,151,385,905,273,198,344,436,523,493,153,466,408,319,513,652,729,540
,면적,742,6,8,14,27,18,29,21,36,11,27,58,21,15,26,34,39,36,11,36,34,24,52,59,59,40
2014년 04월,동(호),8639,75,108,174,346,201,360,544,445,162,346,826,271,226,297,317,456,437,138,361,329,295,411,495,556,463
,면적,698,5,9,19,28,17,30,56,35,13,24,54,22,17,23,26,33,32,10,29,27,23,41,45,46,34
2014년 05월,동(호),6079,45,81,128,240,137,296,213,381,130,288,564,212,142,234,246,327,328,99,299,202,198,313,344,354,278
,면적,478,3,7,13,20,11,22,16,30,10,21,36,17,11,17,21,24,24,8,23,17,15,32,31,28,21
2014년 06월,동(호),5259,48,55,90,171,106,217,180,298,158,244,446,170,168,162,240,292,270,104,212,218,158,286,433,287,246
,면적,412,3,5,9,14,9,15,14,23,13,17,28,14,13,12,20,21,19,8,17,18,11,29,41,24,18
2014년 07월,동(호),6235,62,57,96,231,114,265,362,348,130,255,597,203,175,216,263,317,318,95,240,207,199,360,432,384,309
,면적,488,5,4,9,18,10,20,26,27,10,18,39,16,13,17,22,24,24,7,20,17,14,35,38,32,23
2014년 08월,동(호),6806,44,76,109,241,112,265,402,386,105,292,644,195,180,240,271,421,379,106,250,243,185,401,472,468,319
,면적,530,3,6,10,19,10,19,31,31,8,21,41,16,14,17,21,34,29,8,20,20,14,39,40,37,23
2014년 09월,동(호),9052,67,91,167,326,173,403,277,454,141,371,973,251,253,345,362,531,522,162,371,291,279,509,664,634,435
